code,name,market
005930,삼성전자,KOSPI
000660,SK하이닉스,KOSPI
005935,삼성전자우,KOSPI
402340,SK스퀘어,KOSPI
005380,현대차,KOSPI
009150,삼성전기,KOSPI
373220,LG에너지솔루션,KOSPI
032830,삼성생명,KOSPI
028260,삼성물산,KOSPI
329180,HD현대중공업,KOSPI
012330,현대모비스,KOSPI
000270,기아,KOSPI
034020,두산에너빌리티,KOSPI
066570,LG전자,KOSPI
207940,삼성바이오로직스,KOSPI
105560,KB금융,KOSPI
012450,한화에어로스페이스,KOSPI
006400,삼성SDI,KOSPI
034730,SK,KOSPI
055550,신한지주,KOSPI
035420,NAVER,KOSPI
068270,셀트리온,KOSPI
010120,LS ELECTRIC,KOSPI
267260,HD현대일렉트릭,KOSPI
042660,한화오션,KOSPI
298040,효성중공업,KOSPI
006800,미래에셋증권,KOSPI
086790,하나금융지주,KOSPI
005490,POSCO홀딩스,KOSPI
000150,두산,KOSPI
011070,LG이노텍,KOSPI
000810,삼성화재,KOSPI
010130,고려아연,KOSPI
009540,HD한국조선해양,KOSPI
017670,SK텔레콤,KOSPI
042700,한미반도체,KOSPI
051910,LG화학,KOSPI
307950,현대오토에버,KOSPI
010140,삼성중공업,KOSPI
015760,한국전력,KOSPI
018260,삼성에스디에스,KOSPI
064350,현대로템,KOSPI
316140,우리금융지주,KOSPI
267250,HD현대,KOSPI
003550,LG,KOSPI
003670,포스코퓨처엠,KOSPI
096770,SK이노베이션,KOSPI
033780,KT&G,KOSPI
035720,카카오,KOSPI
011200,HMM,KOSPI
272210,한화시스템,KOSPI
138040,메리츠금융지주,KOSPI
086280,현대글로비스,KOSPI
024110,기업은행,KOSPI
079550,LIG디펜스앤에어로스페이스,KOSPI
278470,에이피알,KOSPI
000720,현대건설,KOSPI
047810,한국항공우주,KOSPI
030200,KT,KOSPI
071050,한국금융지주,KOSPI
006260,LS,KOSPI
064400,LG씨엔에스,KOSPI
010950,S-Oil,KOSPI
259960,크래프톤,KOSPI
0126Z0,삼성에피스홀딩스,KOSPI
005940,NH투자증권,KOSPI
454910,두산로보틱스,KOSPI
016360,삼성증권,KOSPI
047050,포스코인터내셔널,KOSPI
323410,카카오뱅크,KOSPI
443060,HD현대마린솔루션,KOSPI
007660,이수페타시스,KOSPI
005387,현대차2우B,KOSPI
028050,삼성E&A,KOSPI
039490,키움증권,KOSPI
005830,DB손해보험,KOSPI
047040,대우건설,KOSPI
003490,대한항공,KOSPI
352820,하이브,KOSPI
161390,한국타이어앤테크놀로지,KOSPI
003230,삼양식품,KOSPI
000880,한화,KOSPI
034220,LG디스플레이,KOSPI
001440,대한전선,KOSPI
353200,대덕전자,KOSPI
180640,한진칼,KOSPI
000990,DB하이텍,KOSPI
036570,NC,KOSPI
267270,HD건설기계,KOSPI
009830,한화솔루션,KOSPI
326030,SK바이오팜,KOSPI
062040,산일전기,KOSPI
032640,LG유플러스,KOSPI
078930,GS,KOSPI
021240,코웨이,KOSPI
005385,현대차우,KOSPI
128940,한미약품,KOSPI
000100,유한양행,KOSPI
090430,아모레퍼시픽,KOSPI
000500,가온전선,KOSPI
377300,카카오페이,KOSPI
241560,두산밥캣,KOSPI
066970,엘앤에프,KOSPI
010060,OCI홀딩스,KOSPI
336260,두산퓨얼셀,KOSPI
029780,삼성카드,KOSPI
004170,신세계,KOSPI
022100,포스코DX,KOSPI
138930,BNK금융지주,KOSPI
011790,SKC,KOSPI
001040,CJ,KOSPI
088980,맥쿼리인프라,KOSPI
018880,한온시스템,KOSPI
271560,오리온,KOSPI
004020,현대제철,KOSPI
052690,한전기술,KOSPI
082740,한화엔진,KOSPI
002380,KCC,KOSPI
175330,JB금융지주,KOSPI
023530,롯데쇼핑,KOSPI
088350,한화생명,KOSPI
450080,에코프로머티,KOSPI
103590,일진전기,KOSPI
051900,LG생활건강,KOSPI
251270,넷마블,KOSPI
020150,롯데에너지머티리얼즈,KOSPI
012510,더존비즈온,KOSPI
111770,영원무역,KOSPI
489790,한화비전,KOSPI
011170,롯데케미칼,KOSPI
302440,SK바이오사이언스,KOSPI
011780,금호석유화학,KOSPI
035250,강원랜드,KOSPI
005850,에스엘,KOSPI
004800,효성,KOSPI
036460,한국가스공사,KOSPI
097950,CJ제일제당,KOSPI
031210,서울보증보험,KOSPI
017800,현대엘리베이터,KOSPI
001450,현대해상,KOSPI
009420,한올바이오파마,KOSPI
001720,신영증권,KOSPI
014680,한솔케미칼,KOSPI
204320,HL만도,KOSPI
012750,에스원,KOSPI
139130,iM금융지주,KOSPI
000155,두산우,KOSPI
383220,F&F,KOSPI
375500,DL이앤씨,KOSPI
457190,이수스페셜티케미컬,KOSPI
028670,팬오션,KOSPI
069960,현대백화점,KOSPI
007810,코리아써키트,KOSPI
001740,SK네트웍스,KOSPI
004990,롯데지주,KOSPI
009970,영원무역홀딩스,KOSPI
139480,이마트,KOSPI
007340,DN오토모티브,KOSPI
006360,GS건설,KOSPI
026960,동서,KOSPI
000240,한국앤컴퍼니,KOSPI
439260,대한조선,KOSPI
483650,달바글로벌,KOSPI
004370,농심,KOSPI
085620,미래에셋생명,KOSPI
003690,코리안리,KOSPI
011210,현대위아,KOSPI
282330,BGF리테일,KOSPI
279570,케이뱅크,KOSPI
051600,한전KPS,KOSPI
008930,한미사이언스,KOSPI
071970,HD현대마린엔진,KOSPI
030000,제일기획,KOSPI
007070,GS리테일,KOSPI
081660,미스토홀딩스,KOSPI
103140,풍산,KOSPI
00680K,미래에셋증권2우B,KOSPI
018670,SK가스,KOSPI
008770,호텔신라,KOSPI
066575,LG전자우,KOSPI
229640,LS에코에너지,KOSPI
120110,코오롱인더,KOSPI
005440,현대지에프홀딩스,KOSPI
161890,한국콜마,KOSPI
097230,HJ중공업,KOSPI
192820,코스맥스,KOSPI
000120,CJ대한통운,KOSPI
112610,씨에스윈드,KOSPI
009155,삼성전기우,KOSPI
322000,HD현대에너지솔루션,KOSPI
001430,세아베스틸지주,KOSPI
462870,시프트업,KOSPI
181710,NHN,KOSPI
023590,다우기술,KOSPI
002790,아모레퍼시픽홀딩스,KOSPI
001800,오리온홀딩스,KOSPI
017960,한국카본,KOSPI
005070,코스모신소재,KOSPI
006280,녹십자,KOSPI
298020,효성티앤씨,KOSPI
395400,SK리츠,KOSPI
006040,동원산업,KOSPI
001120,LX인터내셔널,KOSPI
361610,SK아이이테크놀로지,KOSPI
003540,대신증권,KOSPI
077970,STX엔진,KOSPI
192080,더블유게임즈,KOSPI
032350,롯데관광개발,KOSPI
020560,아시아나항공,KOSPI
069620,대웅제약,KOSPI
073240,금호타이어,KOSPI
003570,SNT다이내믹스,KOSPI
007310,오뚜기,KOSPI
294870,IPARK현대산업개발,KOSPI
195870,해성디에스,KOSPI
475150,SK이터닉스,KOSPI
030610,교보증권,KOSPI
034230,파라다이스,KOSPI
004000,롯데정밀화학,KOSPI
003530,한화투자증권,KOSPI
051915,LG화학우,KOSPI
012630,HDC,KOSPI
415640,KB발해인프라,KOSPI
006110,삼아알미늄,KOSPI
281820,케이씨텍,KOSPI
082640,동양생명,KOSPI
000815,삼성화재우,KOSPI
000080,하이트진로,KOSPI
093370,후성,KOSPI
089860,롯데렌탈,KOSPI
001820,삼화콘덴서,KOSPI
456040,OCI,KOSPI
300720,한일시멘트,KOSPI
000210,DL,KOSPI
185750,종근당,KOSPI
003090,대웅,KOSPI
003240,태광산업,KOSPI
330590,롯데리츠,KOSPI
100090,SK오션플랜트,KOSPI
003470,유안타증권,KOSPI
280360,롯데웰푸드,KOSPI
009450,경동나비엔,KOSPI
005300,롯데칠성,KOSPI
090460,비에이치,KOSPI
071055,한국금융지주우,KOSPI
365550,ESR켄달스퀘어리츠,KOSPI
057050,현대홈쇼핑,KOSPI
000670,영풍,KOSPI
137310,에스디바이오센서,KOSPI
248070,솔루엠,KOSPI
298050,HS효성첨단소재,KOSPI
192400,쿠쿠홀딩스,KOSPI
108320,LX세미콘,KOSPI
006340,대원전선,KOSPI
033240,자화전자,KOSPI
499790,GS피앤엘,KOSPI
00088K,한화3우B,KOSPI
005690,파미셀,KOSPI
030190,NICE평가정보,KOSPI
010780,아이에스동서,KOSPI
006120,SK디스커버리,KOSPI
079900,전진건설로봇,KOSPI
214320,이노션,KOSPI
451800,한화리츠,KOSPI
036530,SNT홀딩스,KOSPI
075580,세진중공업,KOSPI
336370,솔루스첨단소재,KOSPI
006650,대한유화,KOSPI
025540,한국단자,KOSPI
071320,지역난방공사,KOSPI
